Category,Merchant Name,Address,City
Restaurantes,GRETA Y CHARLIE,HUERFANOS 1351,Santiago
Patio de comida,WENDY´S PLAZA LOS DOMINICOS,PADRE HURTADO SUR 785 LOCAL 3001 MALL PLAZA LOS DOMINICOS,Las Condes
Patio de comida,KFC ALAMEDA UC,LIBERTADOR BERNARDO O'HIGGINS 291,Santiago
Patio de comida,KFC ESTADO,ESTADO 155,Santiago
Patio de comida,KFC MALL ALAMEDA,LIBERTADOR BERNARDO O´HIGGINS 3470 LOCAL 4004 PISO 4,Santiago
Patio de comida,KFC MALL DEL CENTRO,PUENTE 689 LOCAL 307 - 308,Santiago
Patio de comida,KFC MALL PLAZA LOS DOMINICOS,PADRE HURTADO SUR 785 LOCAL 3024 MALL PLAZA LOS DOMINICOS,Las Condes
Patio de comida,KFC PARQUE ARAUCO,PRESIDENTE KENNEDY 5413 LOCAL 604,Las Condes
Restaurantes,CHAMAS MONEDA,MONEDA 2704,Santiago
Restaurantes,COFFEE CORNER CALLAO,CALLAO 2970 LOCAL 203-A,Las Condes
Patio de comida,MC DONALD'S METRO MANQUEHUE,INTERIOR METRO MANQUEHUE 0 METRO MANQUEHUE,Las Condes
Patio de comida,MC DONALD'S PATIO CENTRO,BANDERA 101 LOCAL 9,Santiago
Patio de comida,MC DONALD'S ROTONDA ATENAS,TOMAS MORO 950,Las Condes
Patio de comida,MCDONALD'S BELLAVISTA,BELLAVISTA 52 LOCAL 89,Providencia
Restaurantes,CASTANO S-CLCO,LO FONTECILLA 441,Las Condes
Casinos,CASTAÑO CARLOS ANTUNEZ,CARLOS ANTUNEZ 1825,Providencia
Casinos,CASTAÑO E-EDPMR,MANUEL RODRIGUEZ SUR 253 INTERIOR UNIVERSIDAD DIEGO PORTALES,Santiago
Casinos,CASTAÑO E-UDLP,ANTONIO VARAS 929,Providencia
Restaurantes,EL AJI SECO MISTICO,ENRIQUE MAC IVER 366,Santiago
Restaurantes,TIO MANOLO,SANTA ISABEL 262,Providencia
Patio de comida,DOGGIS,KENNEDY 5413 LOCAL 603,Las Condes
Patio de comida,TOMMY BEANS PARQUE ARAUCO,PRESIDENTE KENNEDY 110524 LOCAL 606 C,Las Condes
Restaurantes,JIANG NAN,TOESCA 2096,Santiago
Restaurantes,CAFETERIA PEREZ VALENZUELA,PEREZ VALENZUELA 1635 3° PISO,Providencia
Restaurantes,CASINO BCI,ALCANTARA 99,Las Condes
Restaurantes,MUNDO RURAL,APOQUINDO 4502 FRENTE LOCAL 3,Las Condes
Restaurantes,HOTEL IBIS SANTIAGO MANQUEHUE NORTE,OCONNELL 165,Las Condes
Restaurantes,BROOS,LAS CONDES 11755,Las Condes
Restaurantes,DANGELUS,BRASIL 426,Santiago
Restaurantes,TPM TOMATE PALTA MAYO,JOSE ANTONIO SOFFIA 2712,Providencia
Restaurantes,DE CASERO PROVIDENCIA,LOS CONQUISTADORES 1700 LOCAL 12,Providencia
Restaurantes,PEZTORO,JOSE VICTORINO LASTARRIA 70,Santiago
Restaurantes,CAFETERIA TULOS,PROVIDENCIA 1957,Providencia
Restaurantes,DONG SHI,SAN PABLO 1292,Santiago
Restaurantes,HUERTO SUR RICARDO LYON 2,NUEVA DE LYON 116 LOCAL 7,Las Condes
Restaurantes,AL-JAZEERA GUARDIA VIEJA,GUARDIA VIEJA 181 LOCAL 04,Providencia
Restaurantes,LA FABRICA GOURMET,PADRE MARIANO 364,Providencia
Restaurantes,DESDE MI VENTANA,AMUNATEGUI 65,Santiago
Restaurantes,ZHOU HUANG Y COMPAÑIA LTDA,AMUNATEGUI 43,Santiago
Restaurantes,CASA EN EL AIRE PATIO BELLAVISTA,CONSTITUCION 40 LOCAL 56,Providencia
Restaurantes,REY TORO,JOSE MIGUEL CLARO 25,Providencia
Restaurantes,BARROCKO,LUIS THAYER OJEDA 115,Providencia
Casinos,VERDE FRESCO,ANTONIO VARAS 666,Providencia
Restaurantes,TORONTO,APOQUINDO 3397,Las Condes
Restaurantes,MYTEKA,ENRIQUE MAC IVER 272 LOCAL 11,Santiago
Patio de comida,UNCLE FLETCH LAS CONDES,PRESIDENTE KENNEDY 5413 LOCAL 446,Las Condes
Restaurantes,LEPARNATTE,APOQUINDO 6814,Las Condes
Restaurantes,OKA'Y,PORTUGAL 125,Santiago
Restaurantes,YUE HAI,VERGARA 193,Santiago
Restaurantes,LONDON COFFEE,MIRAFLORES 106,Santiago
Restaurantes,EL CHIMBOTANO,SAN PABLO 2401 2405,Santiago
Restaurantes,RESTAURANT PERU,DOCTOR LUIS MIDDLETON 1734,Providencia
Restaurantes,ZENWICH,DIAGONAL PARAGUAY 148 LOCAL 4,Santiago
Restaurantes,CHABALA Y ENSALADA,FRANCISCO NOGUERA 22,Providencia
Restaurantes,OCEANIKA SUSHI III,FRANCISCO BILBAO 2843,Providencia
Restaurantes,AROMAS DEL PERU,LIRA 1402,Santiago
Restaurantes,DOMANI TOBALABA,TOBALABA 1145,Providencia
Restaurantes,PAPAS & TOPPINGS,MANUEL MONTT 229,Providencia
Minimarket,EL RINCON PARRILLERO,CARMEN 362,Santiago
Restaurantes,EMPORIO LA ROSA (PARQUE ARAUCO),PRESIDENTE KENNEDY 5413 LOCAL 561,Las Condes
Patio de comida,EMPORIO LA ROSA LASTARRIA,JOSE RAMON GUTIERREZ 295,Santiago
Restaurantes,ESTACION 59,SAN PASCUAL 59 LOCAL 3,Las Condes
Restaurantes,SABOR ORIENTAL,SAN DIEGO 796,Santiago
Restaurantes,STREAT BURGER 2,PRESIDENTE KENNEDY 5413,Las Condes
Restaurantes,CAFE LA VITE,PROVIDENCIA 1388 LOCAL 34,Providencia
Restaurantes,BELLA CALABRIA,PROVIDENCIA 483 LOCAL 106,Providencia
